Index,Age,Player,Pos,Tm,G,GS,eFG%,FT%,TRBPG,ASTPG,STLPG,BLKPG,TOVPG,PFPG,PPG,MPG,Star,Active
259,24.0,A.J. Green,SG,MIL,56.0,0.0,59.9,89.5,1.1428571428571428,0.5357142857142857,0.16071428571428573,0.07142857142857142,0.21428571428571427,0.875,4.5,10.964285714285714,0,1
253,28.0,Aaron Gordon,PF,DEN,73.0,73.0,58.4,65.8,6.4520547945205475,3.547945205479452,0.7671232876712328,0.6164383561643836,1.4383561643835616,1.9452054794520548,13.876712328767123,31.465753424657535,1,1
305,27.0,Aaron Holiday,PG,HOU,78.0,1.0,54.7,92.10000000000001,1.5769230769230769,1.794871794871795,0.5384615384615384,0.07692307692307693,0.6794871794871795,1.6025641025641026,6.589743589743589,16.26923076923077,0,1
501,24.0,Aaron Nesmith,SF,IND,72.0,47.0,60.6,78.10000000000001,3.8194444444444446,1.5,0.9027777777777778,0.6805555555555556,0.8888888888888888,3.3472222222222223,12.180555555555555,27.708333333333332,0,1
724,25.0,Aaron Wiggins,SG,OKC,78.0,4.0,64.5,78.9,2.3846153846153846,1.1025641025641026,0.717948717948718,0.24358974358974358,0.717948717948718,1.1666666666666667,6.948717948717949,15.743589743589743,0,1
313,37.0,Al Horford,C,BOS,65.0,33.0,64.0,86.7,6.3538461538461535,2.5846153846153848,0.5846153846153846,0.9538461538461539,0.7384615384615385,1.4307692307692308,8.646153846153846,26.76923076923077,0,1
116,32.0,Alec Burks,SG,TOT,66.0,1.0,47.8,86.8,2.272727272727273,1.3333333333333333,0.42424242424242425,0.18181818181818182,0.7272727272727273,1.1363636363636365,10.43939393939394,18.363636363636363,0,1
129,29.0,Alex Caruso,SG,CHI,71.0,57.0,59.3,76.0,3.8450704225352115,3.4788732394366195,1.6901408450704225,0.9859154929577465,1.4366197183098592,2.5492957746478875,10.070422535211268,28.732394366197184,1,1
383,30.0,Alex Len,C,SAC,48.0,0.0,61.7,58.8,2.6666666666666665,1.0416666666666667,0.22916666666666666,0.6875,0.5625,1.375,2.5,9.25,0,1
612,21.0,Alperen Sengun,C,HOU,63.0,63.0,55.300000000000004,69.3,9.34920634920635,4.9523809523809526,1.2063492063492063,0.7301587301587301,2.5714285714285716,3.3492063492063493,21.126984126984127,32.476190476190474,1,1
663,21.0,Amen Thompson,SF,HOU,62.0,23.0,54.50000000000001,68.4,6.596774193548387,2.629032258064516,1.2580645161290323,0.6129032258064516,1.4516129032258065,2.274193548387097,9.548387096774194,22.387096774193548,0,1
141,26.0,Amir Coffey,SF,LAC,70.0,13.0,57.099999999999994,85.9,2.1142857142857143,1.0857142857142856,0.5857142857142857,0.2,0.4714285714285714,1.457142857142857,6.614285714285714,20.857142857142858,0,1
182,30.0,Andre Drummond,C,CHI,79.0,10.0,55.60000000000001,59.199999999999996,8.962025316455696,0.46835443037974683,0.9240506329113924,0.6075949367088608,1.0253164556962024,1.7721518987341771,8.39240506329114,17.10126582278481,0,1
329,22.0,Andre Jackson Jr.,SG,MIL,57.0,8.0,58.5,72.7,1.9824561403508771,0.8771929824561403,0.2807017543859649,0.10526315789473684,0.49122807017543857,1.6140350877192982,2.192982456140351,10.035087719298245,0,1
500,24.0,Andrew Nembhard,PG,IND,68.0,47.0,55.7,80.4,2.073529411764706,4.117647058823529,0.9264705882352942,0.08823529411764706,1.4852941176470589,2.1029411764705883,9.205882352941176,24.955882352941178,1,1
725,28.0,Andrew Wiggins,SF,GSW,71.0,59.0,51.1,75.1,4.52112676056338,1.676056338028169,0.5915492957746479,0.5774647887323944,1.2253521126760563,2.0704225352112675,13.225352112676056,27.04225352112676,1,1
625,24.0,Anfernee Simons,SG,POR,46.0,46.0,52.300000000000004,91.60000000000001,3.630434782608696,5.543478260869565,0.5,0.10869565217391304,2.739130434782609,2.130434782608696,22.58695652173913,34.391304347826086,0,1
72,20.0,Anthony Black,PG,ORL,69.0,33.0,54.0,61.3,2.0144927536231885,1.318840579710145,0.5072463768115942,0.30434782608695654,0.8115942028985508,1.5942028985507246,4.579710144927536,16.869565217391305,0,1
160,30.0,Anthony Davis,C,LAL,76.0,76.0,56.699999999999996,81.6,12.644736842105264,3.5,1.1973684210526316,2.3421052631578947,2.0921052631578947,2.3289473684210527,24.68421052631579,35.526315789473685,1,1
189,22.0,Anthony Edwards,SG,MIN,79.0,78.0,52.2,83.6,5.443037974683544,5.1265822784810124,1.2784810126582278,0.5316455696202531,3.050632911392405,1.7848101265822784,25.936708860759495,35.063291139240505,1,1
244,31.0,Anthony Gill,PF,WAS,50.0,3.0,50.0,80.60000000000001,1.88,0.68,0.26,0.22,0.46,0.96,3.78,9.32,0,1
664,21.0,Ausar Thompson,SF,DET,63.0,38.0,50.5,59.699999999999996,6.380952380952381,1.9047619047619047,1.0793650793650793,0.9365079365079365,1.3333333333333333,2.7777777777777777,8.825396825396826,25.126984126984127,0,1
573,25.0,Austin Reaves,SG,LAL,82.0,57.0,56.8,85.3,4.2926829268292686,5.487804878048781,0.8048780487804879,0.3048780487804878,2.1219512195121952,1.8658536585365855,15.853658536585366,32.0609756097561,1,1
179,24.0,Ayo Dosunmu,SG,CHI,76.0,37.0,58.3,81.0,2.8421052631578947,3.1842105263157894,0.8947368421052632,0.47368421052631576,1.355263157894737,2.1842105263157894,12.157894736842104,29.105263157894736,0,1
3,26.0,Bam Adebayo,C,MIA,71.0,71.0,52.900000000000006,75.5,10.380281690140846,3.915492957746479,1.1408450704225352,0.9295774647887324,2.2816901408450705,2.23943661971831,19.253521126760564,34.028169014084504,1,1
619,22.0,Ben Sheppard,SG,IND,57.0,1.0,50.0,88.5,1.5614035087719298,0.9298245614035088,0.5789473684210527,0.03508771929824561,0.2631578947368421,1.543859649122807,4.421052631578948,14.280701754385966,0,1
429,21.0,Bennedict Mathurin,SF,IND,59.0,19.0,50.7,82.1,3.9661016949152543,2.016949152542373,0.5932203389830508,0.23728813559322035,1.6440677966101696,1.9830508474576272,14.508474576271187,26.06779661016949,0,1
146,19.0,Bilal Coulibaly,SF,WAS,63.0,15.0,50.9,70.19999999999999,4.063492063492063,1.746031746031746,0.9047619047619048,0.7619047619047619,1.380952380952381,2.1746031746031744,8.444444444444445,27.22222222222222,0,1
717,20.0,Blake Wesley,SG,SAS,61.0,3.0,50.2,66.7,1.540983606557377,2.721311475409836,0.47540983606557374,0.14754098360655737,0.9016393442622951,1.459016393442623,4.39344262295082,14.360655737704919,0,1
553,28.0,Bobby Portis,PF,MIL,82.0,4.0,56.2,79.0,7.402439024390244,1.2682926829268293,0.8292682926829268,0.4146341463414634,1.1097560975609757,2.3048780487804876,13.78048780487805,24.48780487804878,0,1
75,31.0,Bogdan Bogdanović,SG,ATL,79.0,33.0,53.7,92.10000000000001,3.4430379746835444,3.1265822784810124,1.2151898734177216,0.3291139240506329,1.4177215189873418,2.2658227848101267,16.873417721518987,30.39240506329114,0,1
76,34.0,Bojan Bogdanović,SF-PF,TOT,57.0,27.0,55.1,78.5,2.6666666666666665,1.7017543859649122,0.5263157894736842,0.08771929824561403,1.7719298245614035,1.6666666666666667,15.228070175438596,25.92982456140351,0,1
79,24.0,Bol Bol,PF,PHO,43.0,0.0,68.89999999999999,78.9,3.186046511627907,0.3953488372093023,0.23255813953488372,0.5813953488372093,0.4418604651162791,0.9767441860465116,5.186046511627907,10.906976744186046,0,1
55,30.0,Bradley Beal,SG,PHO,53.0,53.0,58.199999999999996,81.3,4.377358490566038,5.0,0.9811320754716981,0.5094339622641509,2.4716981132075473,2.3962264150943398,18.18867924528302,33.339622641509436,0,1
542,20.0,Brandin Podziemski,SG,GSW,74.0,28.0,52.900000000000006,63.3,5.77027027027027,3.689189189189189,0.8243243243243243,0.1891891891891892,1.1891891891891893,1.6486486486486487,9.216216216216216,26.594594594594593,0,1
324,26.0,Brandon Ingram,SF,NOP,64.0,64.0,53.400000000000006,80.10000000000001,5.0625,5.671875,0.78125,0.625,2.546875,2.265625,20.8125,32.859375,1,1
457,21.0,Brandon Miller,SF,CHO,74.0,68.0,52.400000000000006,82.69999999999999,4.256756756756757,2.364864864864865,0.8918918918918919,0.5675675675675675,1.7837837837837838,2.4864864864864864,17.283783783783782,32.2027027027027,1,1
403,35.0,Brook Lopez,C,MIL,79.0,79.0,58.3,82.1,5.177215189873418,1.6075949367088607,0.5443037974683544,2.392405063291139,1.0,2.4177215189873418,12.531645569620252,30.518987341772153,1,1
100,27.0,Bruce Brown,PG-SG,TOT,67.0,44.0,52.300000000000004,82.39999999999999,4.2388059701492535,2.8656716417910446,0.8805970149253731,0.2537313432835821,1.2835820895522387,2.208955223880597,10.835820895522389,27.850746268656717,0,1
199,25.0,Bruno Fernando,C,ATL,45.0,2.0,58.3,66.7,4.288888888888889,1.0222222222222221,0.5555555555555556,0.6222222222222222,0.9777777777777777,2.3777777777777778,6.266666666666667,15.155555555555555,0,1
444,21.0,Bryce McGowens,SG,CHO,59.0,14.0,51.300000000000004,77.60000000000001,1.728813559322034,0.864406779661017,0.3559322033898305,0.1694915254237288,0.5084745762711864,1.2542372881355932,5.11864406779661,14.94915254237288,0,1
298,31.0,Buddy Hield,SF-SG,TOT,84.0,42.0,56.49999999999999,88.1,3.2023809523809526,2.8095238095238093,0.8333333333333334,0.5,1.2261904761904763,2.011904761904762,12.05952380952381,25.714285714285715,0,1
436,32.0,CJ McCollum,PG,NOP,66.0,66.0,57.199999999999996,82.69999999999999,4.333333333333333,4.621212121212121,0.9393939393939394,0.6212121212121212,1.6666666666666667,1.9090909090909092,20.03030303030303,32.71212121212121,1,1
154,22.0,Cade Cunningham,PG,DET,62.0,62.0,50.0,86.9,4.32258064516129,7.483870967741935,0.9032258064516129,0.3548387096774194,3.4193548387096775,2.467741935483871,22.661290322580644,33.45161290322581,1,1
316,21.0,Caleb Houstan,SF,ORL,59.0,13.0,56.3,80.80000000000001,1.423728813559322,0.4915254237288136,0.2542372881355932,0.06779661016949153,0.2711864406779661,1.0338983050847457,4.288135593220339,13.813559322033898,0,1
422,28.0,Caleb Martin,SF,MIA,64.0,23.0,50.4,77.8,4.390625,2.234375,0.734375,0.453125,1.203125,1.96875,10.0,27.4375,0,1
574,24.0,Cam Reddish,SF,LAL,48.0,26.0,46.800000000000004,75.9,2.0625,1.0,0.9791666666666666,0.2916666666666667,0.6458333333333334,1.3333333333333333,5.416666666666667,20.5,0,1
661,22.0,Cam Thomas,SG,BRK,66.0,51.0,50.3,85.6,3.242424242424242,2.909090909090909,0.6818181818181818,0.24242424242424243,1.878787878787879,2.090909090909091,22.454545454545453,31.439393939393938,1,1
723,19.0,Cam Whitmore,SF,HOU,47.0,2.0,53.900000000000006,67.9,3.8297872340425534,0.7021276595744681,0.6382978723404256,0.3617021276595745,0.9787234042553191,1.3617021276595744,12.319148936170214,18.72340425531915,0,1
