Index,Age,G,GS,eFG%,FT%,TRBPG,ASTPG,STLPG,BLKPG,TOVPG,PFPG,PPG,MPG,Star,Active
count,288.0,288.0,288.0,288.0,288.0,288.0,288.0,288.0,288.0,288.0,288.0,288.0,288.0,288.0,288.0
mean,26.25,64.36111111111111,30.618055555555557,54.3875,77.84826388888888,3.7982912916965166,2.436609617269105,0.700990854751494,0.4012194639349434,1.1695696287118598,1.7604909242107607,10.58525839327378,23.09133617023673,0.24305555555555555,1.0
std,4.263122802345079,11.831341541159627,26.85202618968774,4.6417117322037615,8.291240315234097,1.762292686409625,1.6296825629244955,0.29677822930638964,0.2600505964218814,0.6526200531954602,0.5790803291713676,5.904968310763389,7.513915129302716,0.4296749890393459,0.0
min,19.0,41.0,0.0,42.1,55.00000000000001,0.8333333333333334,0.3409090909090909,0.11627906976744186,0.024390243902439025,0.21428571428571427,0.40425531914893614,2.1818181818181817,9.13953488372093,0.0,1.0
25%,23.0,55.0,6.0,51.4,72.2,2.4324821587867977,1.159751400560224,0.4914402173913044,0.18181818181818182,0.6654929577464789,1.3456471196073365,6.167652552926526,16.904891304347828,0.0,1.0
50%,25.0,66.0,23.0,54.35000000000001,78.85,3.563983488132095,1.8944099378881987,0.6899114484503479,0.3494186046511628,1.0096153846153846,1.7439024390243902,9.194827586206896,23.27341463414634,0.0,1.0
75%,29.0,75.0,54.25,57.599999999999994,83.44999999999999,4.672727272727273,3.3857770845150315,0.9081937799043063,0.5601432880844646,1.4905939648586708,2.153416149068323,13.804543935850319,29.202410130718953,0.0,1.0
max,38.0,84.0,82.0,67.0,100.0,9.205882352941176,6.958904109589041,1.527027027027027,1.2205882352941178,3.087719298245614,3.3472222222222223,28.727272727272727,37.835443037974684,1.0,1.0
